Area-Weighted Soybean Belt, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,63.5,-1.2
195109,61.4,-3.3
195209,65.2,0.5
195309,65.5,0.8
195409,66.8,2.1
195509,66.5,1.8
195609,63.5,-1.2
195709,62.5,-2.2
195809,65.1,0.4
195909,65.5,0.8
196009,66.8,2.1
196109,64.7,0.0
196209,62.0,-2.7
196309,65.2,0.5
196409,63.9,-0.8
196509,61.6,-3.1
196609,62.6,-2.1
196709,62.2,-2.5
196809,63.7,-1.0
196909,64.7,0.0
197009,66.1,1.4
197109,66.4,1.7
197209,65.1,0.4
197309,64.8,0.1
197409,60.2,-4.5
197509,60.8,-3.9
197609,63.7,-1.0
197709,65.8,1.1
197809,68.6,3.9
197909,65.1,0.4
198009,66.1,1.4
198109,63.6,-1.1
198209,63.3,-1.4
198309,65.6,0.9
198409,62.1,-2.6
198509,63.9,-0.8
198609,66.1,1.4
198709,65.0,0.3
198809,65.4,0.7
198909,62.6,-2.1
199009,67.1,2.4
199109,64.2,-0.5
199209,62.9,-1.8
199309,60.3,-4.4
199409,64.9,0.2
199509,62.5,-2.2
199609,63.1,-1.6
199709,65.6,0.9
199809,69.6,4.9
199909,63.6,-1.1
200009,65.0,0.3
200109,63.4,-1.3
200209,67.6,2.9
200309,63.2,-1.5
200409,67.2,2.5
200509,69.0,4.3
200609,62.2,-2.5
200709,67.1,2.4
200809,65.4,0.7
200909,65.5,0.8
201009,65.1,0.4
201109,62.9,-1.8
201209,64.2,-0.5
201309,67.8,3.1
201409,64.3,-0.4
201509,69.3,4.6
201609,68.5,3.8
201709,67.2,2.5
201809,67.8,3.1
201909,69.7,5.0
