Productivity-Weighted Soybean Belt, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,3.25,-0.09
195109,3.24,-0.10
195209,1.76,-1.58
195309,1.38,-1.96
195409,2.13,-1.21
195509,2.89,-0.45
195609,1.31,-2.03
195709,3.06,-0.28
195809,3.43,0.09
195909,3.66,0.32
196009,2.61,-0.73
196109,5.11,1.77
196209,3.07,-0.27
196309,2.08,-1.26
196409,3.52,0.18
196509,6.95,3.61
196609,2.80,-0.54
196709,2.51,-0.83
196809,3.85,0.51
196909,2.83,-0.51
197009,5.16,1.82
197109,3.07,-0.27
197209,4.70,1.36
197309,4.68,1.34
197409,2.58,-0.76
197509,2.92,-0.42
197609,2.27,-1.07
197709,4.76,1.42
197809,3.08,-0.26
197909,2.23,-1.11
198009,3.31,-0.03
198109,2.58,-0.76
198209,2.82,-0.52
198309,2.80,-0.54
198409,2.92,-0.42
198509,3.54,0.20
198609,5.63,2.29
198709,2.48,-0.86
198809,3.45,0.11
198909,4.19,0.85
199009,2.01,-1.33
199109,2.88,-0.46
199209,4.08,0.74
199309,4.89,1.55
199409,2.73,-0.61
199509,2.20,-1.14
199609,3.94,0.60
199709,2.82,-0.52
199809,2.10,-1.24
199909,2.53,-0.81
200009,2.88,-0.46
200109,3.48,0.14
200209,2.76,-0.58
200309,4.18,0.84
200409,2.51,-0.83
200509,3.73,0.39
200609,4.11,0.77
200709,2.63,-0.71
200809,4.85,1.51
200909,2.68,-0.66
201009,4.37,1.03
201109,3.01,-0.33
201209,3.24,-0.10
201309,2.40,-0.94
201409,3.38,0.04
201509,3.00,-0.34
201609,4.38,1.04
201709,2.14,-1.20
201809,5.57,2.23
201909,4.19,0.85
