Year,April Avg Precipitation (mm),May Avg Precipitation (mm),June Avg Precipitation (mm),July Avg Precipitation (mm),August Avg Precipitation (mm),September Avg Precipitation (mm),October Avg Precipitation (mm),April Avg Temps (C),May Avg Temps (C),June Avg Temps (C),July Avg Temps (C),August Avg Temps (C),September Avg Temps (C),October Avg Temps (C),co2_ppm,Soybean Yield (bushels/acre)
1950,83.566,101.85399999999998,111.76,121.666,87.37599999999999,82.55,41.65599999999999,6.611111111111111,15.944444444444446,20.777777777777782,21.611111111111114,20.444444444444443,17.5,13.833333333333334,311.3,20.2
1951,90.42399999999999,89.916,149.09799999999998,111.76,105.15599999999999,82.296,68.58,8.111111111111112,16.944444444444446,19.555555555555557,22.833333333333332,21.77777777777778,16.333333333333332,11.77777777777778,311.8,19.8
1952,75.184,89.154,98.806,86.106,97.02799999999999,44.704,11.937999999999999,10.388888888888891,15.888888888888891,23.666666666666664,24.277777777777782,22.11111111111111,18.444444444444446,8.944444444444446,312.2,19.3
1953,90.932,99.05999999999999,96.26599999999999,89.66199999999999,58.166,35.05199999999999,26.669999999999998,7.833333333333335,16.38888888888889,23.166666666666668,23.83333333333334,23.166666666666668,18.61111111111111,14.055555555555555,312.6,19.7
1954,91.948,87.122,103.886,62.483999999999995,120.64999999999999,54.102,102.86999999999999,12.000000000000002,13.611111111111112,22.611111111111114,25.055555555555554,22.833333333333332,19.333333333333332,11.555555555555555,313.2,20.0
1955,86.106,85.344,90.678,95.50399999999999,74.67599999999999,73.406,69.596,13.666666666666668,17.888888888888893,19.72222222222222,25.888888888888886,24.499999999999996,19.166666666666668,12.055555555555557,313.7,20.0
1956,74.422,94.74199999999999,83.05799999999999,105.41,93.726,33.274,36.068,8.38888888888889,16.77777777777778,22.77777777777778,22.833333333333332,22.77777777777778,17.5,14.61111111111111,314.3,20.6
1957,120.14200000000001,134.112,151.384,95.25,81.026,77.724,79.756,10.277777777777779,15.777777777777779,20.944444444444446,24.66666666666667,22.5,16.944444444444446,10.111111111111112,314.8,21.5
1958,81.28,76.19999999999999,127.50799999999998,171.70399999999998,78.74,87.122,31.241999999999997,10.277777777777779,16.77777777777778,19.22222222222222,22.277777777777775,22.666666666666668,18.388888888888886,12.388888888888888,316.16,22.2
1959,73.66,130.55599999999998,71.62799999999999,90.678,102.86999999999999,92.964,93.98,10.166666666666666,17.666666666666664,22.055555555555557,23.11111111111111,24.444444444444446,18.61111111111111,10.166666666666666,315.23,22.6
1960,73.914,119.63399999999999,117.85599999999998,77.978,105.41,66.294,56.13399999999999,11.055555555555555,15.333333333333334,20.166666666666664,22.888888888888893,23.11111111111111,19.333333333333332,12.055555555555557,315.58,23.3
1961,81.28,106.934,90.678,124.20599999999999,78.74,129.794,59.943999999999996,7.3888888888888875,14.27777777777778,20.777777777777782,22.888888888888893,22.611111111111114,18.166666666666668,12.222222222222223,317.01,25.1
1962,49.275999999999996,112.014,96.01199999999999,129.286,81.026,77.978,64.008,9.27777777777778,19.055555555555554,21.0,22.44444444444445,22.5,16.666666666666668,13.055555555555555,317.28,24.0
1963,68.326,75.946,76.708,122.17399999999998,76.19999999999999,52.832,20.827999999999996,11.500000000000002,15.722222222222221,22.5,23.61111111111111,21.888888888888893,18.444444444444446,16.38888888888889,318.21,23.0
1964,138.684,68.58,97.53599999999999,90.42399999999999,90.16999999999999,89.408,18.287999999999997,11.055555555555555,18.277777777777782,21.611111111111114,24.388888888888893,21.38888888888889,17.72222222222222,10.555555555555555,318.78,22.8
1965,98.044,94.996,102.362,92.202,101.092,176.53,37.846,10.222222222222221,18.166666666666668,20.833333333333336,22.833333333333332,21.77777777777778,16.444444444444446,11.88888888888889,319.02,24.6
1966,90.16999999999999,85.598,83.82,78.74,92.456,71.11999999999999,47.244,8.333333333333334,14.333333333333332,21.11111111111111,25.111111111111114,21.05555555555556,17.0,10.722222222222221,319.97,25.0
1967,91.948,98.55199999999999,146.04999999999998,84.836,69.342,63.75399999999999,84.582,10.999999999999998,13.833333333333334,20.944444444444446,21.944444444444446,20.555555555555557,16.77777777777778,10.944444444444446,321.61,23.9
1968,97.282,115.062,107.696,101.346,82.80399999999999,97.78999999999999,68.83399999999999,10.88888888888889,14.333333333333332,21.666666666666668,23.000000000000004,22.611111111111114,17.611111111111114,11.944444444444445,322.04,25.2
1969,93.98,85.344,132.588,134.874,65.78599999999999,71.88199999999999,94.996,10.944444444444446,16.500000000000004,19.166666666666668,23.88888888888889,22.833333333333332,18.166666666666668,10.222222222222221,324.0,26.3
1970,112.52199999999999,107.94999999999999,102.362,85.344,81.28,131.064,99.822,10.444444444444443,17.38888888888889,21.444444444444443,23.666666666666664,22.833333333333332,18.944444444444443,11.444444444444446,324.83,26.5
1971,39.878,95.50399999999999,100.58399999999999,108.204,58.674,77.978,75.692,10.388888888888891,14.61111111111111,23.277777777777782,21.833333333333332,21.888888888888893,19.111111111111114,14.500000000000002,326.98,27.1
1972,102.10799999999999,102.86999999999999,86.106,119.126,92.456,119.38,73.406,9.333333333333332,16.944444444444446,20.444444444444443,22.555555555555554,22.333333333333336,18.388888888888886,9.888888888888888,326.63,27.1
1973,118.87199999999999,121.666,106.17199999999998,114.55399999999999,67.818,118.87199999999999,77.724,9.500000000000002,14.833333333333336,21.944444444444446,23.55555555555556,23.333333333333336,18.22222222222222,14.11111111111111,328.57,23.4
1974,86.36,141.224,113.53799999999998,49.784,119.38,65.532,50.546,10.999999999999998,15.444444444444443,19.777777777777775,24.94444444444445,21.27777777777778,15.66666666666667,11.61111111111111,328.98,22.5
1975,95.758,96.26599999999999,125.984,65.532,120.14200000000001,74.16799999999999,40.132,7.722222222222221,17.666666666666664,21.27777777777778,23.83333333333334,23.166666666666668,16.0,12.777777777777779,330.39,26.3
1976,68.326,82.55,91.44,74.16799999999999,46.482,57.657999999999994,63.5,11.77777777777778,14.777777777777779,21.38888888888889,23.83333333333334,22.22222222222222,17.611111111111114,8.444444444444446,331.38,25.2
1977,73.406,81.026,89.916,93.472,149.35199999999998,120.90399999999998,88.392,13.277777777777777,19.88888888888889,21.555555555555554,24.833333333333336,21.333333333333336,18.77777777777778,10.722222222222221,332.4,28.4
1978,95.50399999999999,113.53799999999998,90.42399999999999,116.078,94.996,78.232,38.608,10.277777777777779,16.11111111111111,21.38888888888889,23.388888888888886,22.555555555555554,20.333333333333332,10.944444444444446,334.26,27.4
1979,111.252,92.456,95.758,127.762,125.73,56.641999999999996,74.16799999999999,8.499999999999998,15.111111111111112,21.0,22.888888888888893,21.888888888888893,18.388888888888886,11.38888888888889,335.2,32.5
1980,59.43599999999999,77.46999999999998,103.12399999999998,70.866,131.064,84.074,58.674,10.388888888888891,17.055555555555557,21.222222222222225,25.222222222222225,23.77777777777778,18.944444444444443,9.944444444444445,338.91,25.8
1981,89.154,120.14200000000001,131.064,129.54,112.77600000000001,65.532,72.64399999999999,13.16666666666667,14.888888888888888,21.72222222222222,23.666666666666664,21.944444444444446,17.555555555555557,10.5,338.43,28.3
1982,72.898,133.85799999999998,97.02799999999999,113.28399999999999,99.314,71.62799999999999,72.898,8.166666666666668,18.055555555555557,18.944444444444443,23.88888888888889,21.77777777777778,17.38888888888889,11.833333333333332,342.16,27.5
1983,114.04599999999999,133.60399999999998,113.53799999999998,60.959999999999994,58.92799999999999,71.11999999999999,93.98,7.5,14.27777777777778,21.05555555555556,25.388888888888893,25.555555555555557,18.666666666666664,11.88888888888889,341.34,25.7
1984,126.492,120.396,111.76,84.32799999999999,53.848,74.16799999999999,130.302,9.500000000000002,14.722222222222223,22.16666666666667,22.833333333333332,23.444444444444446,16.722222222222225,12.944444444444443,343.62,26.9
1985,67.30999999999999,89.916,91.18599999999999,81.53399999999999,121.666,89.916,88.646,12.777777777777779,17.77777777777778,19.833333333333336,23.166666666666668,20.944444444444446,17.72222222222222,12.000000000000002,344.8,33.6
1986,88.89999999999999,112.014,110.744,119.63399999999999,85.09,143.00199999999998,98.298,11.77777777777778,16.944444444444446,22.11111111111111,24.61111111111111,20.666666666666668,18.944444444444443,11.88888888888889,346.94,34.2
1987,50.038,89.408,83.82,114.80799999999998,117.60199999999999,62.992,32.004,11.944444444444445,19.055555555555554,22.888888888888893,24.66666666666667,22.44444444444445,18.333333333333336,8.88888888888889,347.82,30.0
1988,59.69,51.56199999999999,33.019999999999996,80.772,84.32799999999999,87.63,47.751999999999995,10.333333333333334,18.22222222222222,23.277777777777782,24.66666666666667,24.444444444444446,18.55555555555556,8.88888888888889,349.68,32.5
1989,67.818,96.01199999999999,106.17199999999998,105.15599999999999,92.71,106.426,43.687999999999995,10.111111111111112,15.555555555555557,20.611111111111107,24.111111111111114,22.38888888888889,17.0,12.055555555555557,352.1,32.5
1990,69.596,154.93999999999997,137.16,114.55399999999999,95.758,51.053999999999995,87.884,10.055555555555557,14.666666666666666,21.72222222222222,22.944444444444443,22.44444444444445,19.499999999999996,11.055555555555555,353.59,34.0
1991,127.50799999999998,126.746,80.264,74.16799999999999,77.46999999999998,73.15199999999999,91.18599999999999,12.11111111111111,18.833333333333336,23.11111111111111,23.83333333333334,23.000000000000004,17.888888888888893,11.555555555555555,354.95,34.7
1992,72.64399999999999,53.339999999999996,83.31199999999998,180.84799999999998,82.296,103.63199999999999,46.99,9.333333333333332,16.11111111111111,19.72222222222222,21.444444444444443,19.833333333333336,17.166666666666668,11.055555555555555,356.83,37.5
1993,106.67999999999999,109.982,159.004,171.45,122.17399999999998,124.20599999999999,56.388000000000005,8.722222222222225,16.055555555555557,20.222222222222225,23.388888888888886,22.944444444444443,15.722222222222221,10.388888888888891,356.02,32.5
1994,112.014,58.674,118.618,103.886,89.916,69.342,59.69,10.777777777777777,16.11111111111111,22.277777777777775,22.333333333333336,21.05555555555556,18.277777777777782,12.666666666666666,357.57,42.3
1995,107.94999999999999,161.29,93.21799999999999,92.964,98.044,55.88,75.184,8.722222222222225,15.0,21.72222222222222,23.83333333333334,24.88888888888889,16.944444444444446,11.722222222222223,359.25,35.6
1996,84.836,153.67,113.792,104.90199999999999,75.184,100.076,69.342,8.444444444444446,15.388888888888891,21.555555555555554,22.16666666666667,22.333333333333336,17.27777777777778,11.722222222222223,362.45,37.5
1997,73.406,103.63199999999999,107.94999999999999,81.28,93.21799999999999,71.62799999999999,66.03999999999999,7.833333333333335,13.611111111111112,21.38888888888889,23.5,21.500000000000004,18.666666666666664,12.000000000000002,362.68,49.0
1998,106.426,96.01199999999999,160.78199999999998,101.092,93.98,53.339999999999996,102.10799999999999,10.999999999999998,18.944444444444443,21.0,23.83333333333334,23.388888888888886,20.888888888888886,12.833333333333334,365.21,49.0
1999,129.03199999999998,100.33,122.428,89.408,67.564,64.26199999999999,38.862,11.444444444444446,16.833333333333332,21.38888888888889,25.111111111111114,22.22222222222222,17.555555555555557,11.500000000000002,367.44,36.2
2000,69.342,109.21999999999998,143.25599999999997,97.53599999999999,74.422,73.15199999999999,49.784,10.166666666666666,17.666666666666664,20.666666666666668,22.944444444444443,23.333333333333336,18.333333333333336,13.333333333333334,368.84,38.0
2001,88.138,125.984,104.394,95.50399999999999,84.582,88.392,102.362,12.333333333333336,17.22222222222222,20.888888888888886,24.166666666666668,23.388888888888886,17.444444444444443,11.222222222222225,369.79,39.5
2002,94.488,129.794,86.106,83.31199999999998,110.99799999999999,70.10399999999998,91.18599999999999,10.88888888888889,14.38888888888889,22.722222222222225,25.166666666666668,22.888888888888893,19.777777777777775,9.555555555555557,373.32,48.0
2003,80.772,133.60399999999998,110.48999999999998,113.03,68.072,106.17199999999998,45.466,11.11111111111111,15.611111111111112,20.0,23.444444444444446,23.88888888888889,17.333333333333336,12.11111111111111,375.43,34.0
2004,58.92799999999999,165.1,104.648,113.53799999999998,106.426,63.75399999999999,83.566,11.333333333333334,16.88888888888889,20.111111111111114,22.277777777777775,20.0,19.555555555555557,12.5,376.49,43.7
2005,81.53399999999999,73.406,100.076,92.71,98.806,94.74199999999999,40.386,12.166666666666666,15.166666666666666,22.888888888888893,24.22222222222222,23.22222222222222,20.555555555555557,12.444444444444445,377.98,44.2
2006,94.996,83.31199999999998,83.31199999999998,87.122,114.3,104.394,79.502,13.222222222222221,16.555555555555554,21.555555555555554,24.833333333333336,23.277777777777782,16.77777777777778,10.111111111111112,381.45,43.0
2007,94.234,90.16999999999999,90.42399999999999,78.74,140.462,66.80199999999999,108.966,9.27777777777778,18.5,22.11111111111111,23.333333333333336,24.166666666666668,19.499999999999996,14.222222222222223,383.42,42.0
2008,111.252,125.984,148.844,115.82399999999998,62.738,123.18999999999998,77.978,9.500000000000002,14.833333333333336,21.555555555555554,23.444444444444446,22.055555555555557,18.55555555555556,11.444444444444446,385.04,39.5
2009,107.696,113.792,116.332,109.47399999999999,110.23599999999999,68.072,176.022,9.833333333333336,16.222222222222225,21.27777777777778,21.11111111111111,21.27777777777778,18.61111111111111,8.88888888888889,386.52,44.6
2010,75.438,119.63399999999999,176.53,137.16,84.32799999999999,110.99799999999999,34.544000000000004,13.611111111111112,16.944444444444446,22.611111111111114,24.499999999999996,24.388888888888893,18.388888888888886,13.055555555555555,390.54,44.0
2011,145.796,133.60399999999998,120.90399999999998,91.69399999999999,77.978,76.454,45.466,10.5,15.888888888888891,21.944444444444446,25.944444444444446,23.22222222222222,17.166666666666668,12.555555555555557,390.48,42.0
2012,75.946,86.868,59.69,53.339999999999996,81.53399999999999,82.296,80.00999999999999,12.055555555555557,18.944444444444443,22.277777777777775,26.666666666666668,22.5,17.888888888888893,10.555555555555555,392.09,40.0
2013,141.986,149.86,129.03199999999998,80.518,58.92799999999999,60.959999999999994,88.138,8.0,16.27777777777778,21.27777777777778,22.888888888888893,22.555555555555554,19.88888888888889,11.500000000000002,394.44,44.6
2014,118.618,87.63,186.944,76.708,122.17399999999998,85.85199999999999,85.85199999999999,9.888888888888888,16.500000000000004,21.833333333333332,21.333333333333336,22.555555555555554,17.944444444444443,12.055555555555557,397.26,47.8
2015,89.916,133.85799999999998,167.64,130.81,95.25,76.19999999999999,56.641999999999996,11.61111111111111,16.77777777777778,21.666666666666668,23.277777777777782,21.72222222222222,20.72222222222222,12.833333333333334,401.59,48.0
2016,92.71,107.94999999999999,83.05799999999999,136.398,148.33599999999998,111.252,59.43599999999999,10.88888888888889,16.222222222222225,22.888888888888893,23.83333333333334,23.444444444444446,20.27777777777778,14.055555555555555,401.86,52.6
2017,120.90399999999998,131.57199999999997,98.298,102.616,104.13999999999999,54.356,106.934,12.222222222222223,15.833333333333334,21.888888888888893,24.055555555555554,21.0,19.555555555555557,13.055555555555555,406.87,49.5
2018,68.326,100.33,149.09799999999998,94.74199999999999,127.50799999999998,141.478,96.52,5.999999999999999,20.222222222222225,23.166666666666668,23.666666666666664,22.944444444444443,19.88888888888889,10.777777777777777,408.68,46.5
2019,107.44200000000001,177.292,122.68199999999999,105.664,103.12399999999998,106.426,118.618,10.5,15.5,21.222222222222225,24.333333333333332,22.11111111111111,20.944444444444446,10.611111111111112,409.73,46.9
